WKT,﻿id,name,alt_name,latitude,longitude
"POINT (132.90253 -1.38424)",91.0,PAPUA BARAT,PAPUA BARAT,-1.38424,132.90253
"POINT (138.34853 -3.98857)",94.0,PAPUA,PAPUA,-3.98857,138.34853
